img,attack,msg_orig,msg_decoded,bit_acc,word_acc,ID_acc,pred_acc,param0
0,jpeg,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,80.0
0,jpeg,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,90.0
0,jpeg,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,100.0
0,contrast,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.5
0,contrast,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,1.0
0,contrast,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,1.5
0,contrast,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,2.0
0,brightness,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.5
0,brightness,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,1.0
0,brightness,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,1.5
0,brightness,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,2.0
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,-0.5
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,-0.25
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.0
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.25
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.5
0,hue,"[True, True, False, False, True, False, True, False, False, True, True, True]","[True, True, False, False, True, False, True, False, False, True, True, True]",1.0,1,1.0,0.0,0.2
